id,date,age,gender,semester,guidance,ati_1,ati_2,ati_3,ati_4,ati_5,ati_6,ati_7,ati_8,ati_9,sipa_pre_1,sipa_pre_2,sipa_pre_3,sipa_pre_4,sipa_pre_5,sipa_pre_6,fost_pre_1,fost_pre_2,fost_pre_3,fost_pre_4,fost_pre_5,sipa_post_1,sipa_post_2,sipa_post_3,sipa_post_4,sipa_post_5,sipa_post_6,fost_post_1,fost_post_2,fost_post_3,fost_post_4,fost_post_5,ess_1,ess_2,ess_3,ess_4,ess_5,ess_6,ess_7,ess_8,nasa-tlx_1,nasa-tlx_2,nasa-tlx_3,nasa-tlx_4,nasa-tlx_5
u7,02.12.2021,26,m,10,FALSE,3,4,5,5,5,5,3,3,4,5,5,4,4,5,4,4,4,5,5,4,4,4,5,5,5,4,5,5,4,5,5,4,4,4,4,3,5,5,2,11,5,6,6,4
u6,26.12.2021,22,m,5,FALSE,4,6,3,6,4,2,2,3,5,5,5,6,2,3,2,6,5,5,5,5,5,4,4,5,3,3,5,2,4,4,4,4,3,2,2,4,3,5,3,12,4,8,14,4
u4,25.11.2021,27,f,11,FALSE,5,5,3,4,3,3,3,2,5,5,5,5,5,4,4,4,4,5,4,4,5,5,5,5,4,5,5,5,6,4,4,5,5,5,4,4,4,4,3,7,10,1,7,3
u3,25.11.2021,22,f,7,FALSE,4,4,5,4,5,4,4,5,5,5,6,2,3,4,3,5,5,4,4,5,6,6,5,4,5,5,4,2,4,4,4,3,1,1,2,5,4,5,3,15,0,4,3,12
u2,16.11.2021,26,f,9,FALSE,4,6,5,4,5,5,3,2,4,6,4,4,4,4,3,6,6,5,6,6,6,5,5,6,4,4,4,4,5,4,4,5,4,4,4,2,4,5,5,7,2,4,6,1
u1,15.11.2021,21,f,5,FALSE,5,6,5,5,5,6,5,5,6,4,6,5,3,4,3,5,5,3,4,6,5,6,5,5,6,4,4,6,5,3,2,4,5,3,3,4,4,5,4,15,14,9,10,7
g7,03.12.2021,23,m,9,TRUE,4,5,5,4,4,2,2,2,3,5,4,3,3,2,3,5,5,3,5,5,4,4,4,3,2,3,2,2,2,3,3,2,4,4,2,2,4,4,4,12,4,6,6,2
g6,01.12.2021,21,f,5,TRUE,4,3,3,4,3,4,4,4,5,5,6,5,5,5,5,4,4,4,4,4,6,6,5,2,4,4,4,4,4,4,4,2,2,2,2,5,3,3,2,10,2,6,8,6
g5,25.11.2021,32,m,11,TRUE,5,5,5,6,5,5,4,6,5,4,5,5,4,4,4,5,5,5,4,4,5,5,4,4,4,5,4,4,5,4,3,3,4,2,2,2,3,2,2,10,4,6,10,4
g4,25.11.2021,29,m,11,TRUE,4,5,5,5,5,4,2,2,4,4,4,4,5,3,3,4,5,6,5,5,5,3,2,4,4,4,5,5,4,5,2,4,2,2,2,3,5,3,4,14,4,4,6,2
g3,18.11.2021,21,m,6,TRUE,4,5,5,4,5,4,4,4,4,3,3,2,2,1,1,2,2,1,1,1,1,1,1,1,3,3,2,4,1,1,1,2,1,1,1,2,1,1,2,16,9,5,16,5
g2,16.11.2021,25,f,7,TRUE,5,5,3,4,3,2,3,3,4,2,2,3,3,4,4,4,4,3,4,4,5,5,5,4,4,4,3,3,5,3,4,4,4,4,4,2,3,4,3,10,4,4,3,4
g1,15.11.2021,22,f,7,TRUE,3,3,3,2,2,3,4,2,3,5,5,3,4,4,3,4,4,4,4,5,5,6,4,3,4,5,4,4,3,4,5,3,2,2,2,3,3,3,4,10,6,4,0,0
