,id,date,age,gender,semester,guidance,ati_1,ati_2,ati_3,ati_4,ati_5,ati_6,ati_7,ati_8,ati_9,sipa_pre_1,sipa_pre_2,sipa_pre_3,sipa_pre_4,sipa_pre_5,sipa_pre_6,fost_pre_1,fost_pre_2,fost_pre_3,fost_pre_4,fost_pre_5,sipa_post_1,sipa_post_2,sipa_post_3,sipa_post_4,sipa_post_5,sipa_post_6,fost_post_1,fost_post_2,fost_post_3,fost_post_4,fost_post_5,ess_1,ess_2,ess_3,ess_4,ess_5,ess_6,ess_7,ess_8,nasa-tlx_1,nasa-tlx_2,nasa-tlx_3,nasa-tlx_4,nasa-tlx_5,ati_score,sipa_pre_score,fost_pre_score,sipa_post_score,fost_post_score,ess_score,nasa_tlx_score,sipa_diff_score
0,u7,02.12.2021,26,m,10,False,3,4,5,5,5,5,3,3,4,5,5,4,4,5,4,4,4,5,5,4,4,4,5,5,5,4,5,5,4,5,5,4,4,4,4,3,5,5,2,11,5,6,6,4,4.111111111111111,4.5,4.4,4.5,4.8,3.875,6.4,0.0
1,u6,26.12.2021,22,m,5,False,4,6,3,6,4,2,2,3,5,5,5,6,2,3,2,6,5,5,5,5,5,4,4,5,3,3,5,2,4,4,4,4,3,2,2,4,3,5,3,12,4,8,14,4,3.888888888888889,3.8333333333333335,5.2,4.0,3.8,3.25,8.4,-0.16666666666666652
2,u5,10.12.2021,24,f,10,False,2,2,2,3,1,1,2,3,3,4,4,3,3,4,3,5,5,4,5,5,5,5,5,3,4,4,4,5,5,3,3,4,3,2,3,4,4,5,2,8,6,10,6,4,2.111111111111111,3.5,4.8,4.333333333333333,4.0,3.375,6.8,-0.833333333333333
3,u4,25.11.2021,27,f,11,False,5,5,3,4,3,3,3,2,5,5,5,5,5,4,4,4,4,5,4,4,5,5,5,5,4,5,5,5,6,4,4,5,5,5,4,4,4,4,3,7,10,1,7,3,3.6666666666666665,4.666666666666667,4.2,4.833333333333333,4.8,4.25,5.6,-0.16666666666666607
4,u3,25.11.2021,22,f,7,False,4,4,5,4,5,4,4,5,5,5,6,2,3,4,3,5,5,4,4,5,6,6,5,4,5,5,4,2,4,4,4,3,1,1,2,5,4,5,3,15,0,4,3,12,4.444444444444445,3.8333333333333335,4.6,5.166666666666667,3.6,3.0,6.8,-1.3333333333333335
5,u2,16.11.2021,26,f,9,False,4,6,5,4,5,5,3,2,4,6,4,4,4,4,3,6,6,5,6,6,6,5,5,6,4,4,4,4,5,4,4,5,4,4,4,2,4,5,5,7,2,4,6,1,4.222222222222222,4.166666666666667,5.8,5.0,4.2,4.125,4.0,-0.833333333333333
6,u1,15.11.2021,21,f,5,False,5,6,5,5,5,6,5,5,6,4,6,5,3,4,3,5,5,3,4,6,5,6,5,5,6,4,4,6,5,3,2,4,5,3,3,4,4,5,4,15,14,9,10,7,5.333333333333333,4.166666666666667,4.6,5.166666666666667,4.0,4.0,11.0,-1.0
7,g7,03.12.2021,23,m,9,True,4,5,5,4,4,2,2,2,3,5,4,3,3,2,3,5,5,3,5,5,4,4,4,3,2,3,2,2,2,3,3,2,4,4,2,2,4,4,4,12,4,6,6,2,3.4444444444444446,3.3333333333333335,4.6,3.3333333333333335,2.4,3.25,6.0,0.0
8,g6,01.12.2021,21,f,5,True,4,3,3,4,3,4,4,4,5,5,6,5,5,5,5,4,4,4,4,4,6,6,5,2,4,4,4,4,4,4,4,2,2,2,2,5,3,3,2,10,2,6,8,6,3.7777777777777777,5.166666666666667,4.0,4.5,4.0,2.625,6.4,0.666666666666667
9,g5,25.11.2021,32,m,11,True,5,5,5,6,5,5,4,6,5,4,5,5,4,4,4,5,5,5,4,4,5,5,4,4,4,5,4,4,5,4,3,3,4,2,2,2,3,2,2,10,4,6,10,4,5.111111111111111,4.333333333333333,4.6,4.5,4.0,2.5,6.8,-0.16666666666666696
10,g4,25.11.2021,29,m,11,True,4,5,5,5,5,4,2,2,4,4,4,4,5,3,3,4,5,6,5,5,5,3,2,4,4,4,5,5,4,5,2,4,2,2,2,3,5,3,4,14,4,4,6,2,4.0,3.8333333333333335,5.0,3.6666666666666665,4.2,3.125,6.0,0.16666666666666696
11,g3,18.11.2021,21,m,6,True,4,5,5,4,5,4,4,4,4,3,3,2,2,1,1,2,2,1,1,1,1,1,1,1,3,3,2,4,1,1,1,2,1,1,1,2,1,1,2,16,9,5,16,5,4.333333333333333,2.0,1.4,1.6666666666666667,1.8,1.375,10.2,0.33333333333333326
12,g2,16.11.2021,25,f,7,True,5,5,3,4,3,2,3,3,4,2,2,3,3,4,4,4,4,3,4,4,5,5,5,4,4,4,3,3,5,3,4,4,4,4,4,2,3,4,3,10,4,4,3,4,3.5555555555555554,3.0,3.8,4.5,3.6,3.5,5.0,-1.5
13,g1,15.11.2021,22,f,7,True,3,3,3,2,2,3,4,2,3,5,5,3,4,4,3,4,4,4,4,5,5,6,4,3,4,5,4,4,3,4,5,3,2,2,2,3,3,3,4,10,6,4,0,0,2.7777777777777777,4.0,4.2,4.5,4.0,2.75,4.0,-0.5
